bewerbungs_id;vorname;nachname;email;telefon;alter;bezirk;beruflicher_hintergrund;motivation_freitext;verfuegbarkeit;erfahrung_mit_jugendlichen;bevorzugte_themen;datenschutz_einwilligung;fuehrungszeugnis_status;bemerkung
B017;Ursula;Bergman;ursulabergmann26@gmx.de;0179-2432646;34;Steglitz-Zehlendorf;Physiotherapeutin i.R.;War selbst Geflüchteter und weiß, wie schwer der Einstieg ins Berufsleben ist.;unregelmäßig, Schicht;nein, aber Interesse;Sprache;ja;beantragt;
B018;Paula;Becke;paulabecker88@gmail.com;0176-7227029;59;Treptow-Köpenick;Erzieherin;Habe selbst als Jugendlicher Unterstützung gebraucht und weiß, wie wichtig das ist.;unregelmäßig, Schicht;nein, aber Interesse;Schule allgemein;offen;nicht vorhanden;
B019;Aylin;Nowak;aylinnowak40@web.de;0170-5809855;32;Pankow;Lehrerin i.R.;Ich glaube, jeder Jugendliche verdient jemanden, der zuhört.;Wochenende;etwas;Persönliche Entwicklung;offen;eingereicht;Hat keine Referenzen angegeben, nachfordern.
B020;Greta;Berger;gretaberger76@gmx.de;;69;Treptow-Koepenick;Rentner, ehem. Betriebsleiter;Fühle mich seit dem Auszug der eigenen Kinder manchmal einsam, suche neue soziale Kontakte.;Wochenende;nein;offen für alles;nein;ausstehend;Hat keine Referenzen angegeben, nachfordern.
B021;Ursula;Krüger;ursulakrüger@gmail.com;;47;Charlottenburg-Wilmersdorf;Ingenieurin i.R.;Bin neu in Berlin und möchte mich sozial einbringen.;unregelmäßig, Schicht;ja;offen für alles;offen;ausstehend;
B022;Enes;Klein;enes.klein25@gmail.com;0179-7723092;39;Treptow-Köpenick;Selbstständiger Handwerker;Habe selbst als Jugendlicher Unterstützung gebraucht und weiß, wie wichtig das ist.;wochentags abends;nein;offen für alles;ja;eingereicht - abgelaufen;Bewerber möchte ausschließlich 1:1-Treffen bei sich zu Hause - kritisch prüfen.
B023;Melek;Neumann;melek.neumann78@posteo.de;0151-2637653;63;Marzahn-Hellersdorf;IT-Berater;Ich möchte meine Berufserfahrung weitergeben.;flexibel;ja, beruflich;Schule allgemein;offen;beantragt;
B024;Alina;Kowalski;alina.kowalski33@web.de;0179-7073755;49;Spandau;Ingenieurin i.R.;Ich möchte meine Berufserfahrung weitergeben.;unregelmäßig, Schicht;ja;Sprache;J;eingereicht;
B025;Paul;Klein;paul.klein42@posteo.de;0160-1558520;45;Friedrichshain-Kreuzberg;Bankkaufmann i.R.;Bin neu in Berlin und möchte mich sozial einbringen.;Wochenende;ja, beruflich;Technik/IT;Ja;ausstehend;
B026;Merve;Weber;merve.weber45@gmail.com;;51;Reinickendorf;Sozialarbeiter;Möchte etwas zurückgeben, nachdem meine eigenen Kinder aus dem Haus sind.;flexibel;nein;Schule allgemein;Ja;ausstehend;
B027;Yusuf;Nowa;yusufnowak57@gmx.de;0160-7074570;48;Marzahn-Hellersdorf;Lehrerin i.R.;Meine Tochter hat von dem Projekt erzählt, das hat mich neugierig gemacht.;unregelmäßig, Schicht;etwas;Bewerbung/Beruf;ja;ausstehend;
B028;Serkan;Kilic;serkan.kilic85@web.de;;33;Tempelhof-Schöneberg;kaufmännischer Angestellter;Ich interessiere mich für Bildungsgerechtigkeit und möchte praktisch helfen.;Wochenende;ja, beruflich;Bewerbung/Beruf;nein;eingereicht - abgelaufen;
B029;Rosemarie;Demir;rosemariedemir@gmx.de;0170-6674227;51;Treptow-Köpenick;Krankenschwester i.R.;Meine Tochter hat von dem Projekt erzählt, das hat mich neugierig gemacht.;nur Dienstag & Donnerstag;nein, aber Interesse;Schule allgemein;Ja;eingereicht;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B030;Ibrahim;Marino;ibrahimmarino23@posteo.de;0176-1007693;27;Neukölln;Verwaltungsangestellter;Ich möchte meine Berufserfahrung weitergeben.;nur Dienstag & Donnerstag;ja, beruflich;offen für alles;Ja;eingereicht - abgelaufen;
B031;Melek;Schuster;melekschuster@t-online.de;0151-3738367;31;Charlottenburg-Wilmersdorf;Ingenieur;Ich glaube, jeder Jugendliche verdient jemanden, der zuhört.;Wochenende;ja;Bewerbung/Beruf;Ja;eingereicht;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B032;Brigitte;Celik;brigittecelik26@posteo.de;0176-9577159;61;Treptow-Köpenick;Verwaltungsangestellter;Ich interessiere mich für Bildungsgerechtigkeit und möchte praktisch helfen.;flexibel;nein;Sprache;nein;eingereicht;
B033;Elif;Berger;elifberger@gmx.de;0179-9741804;45;Lichtenberg;Rentner, ehem. Betriebsleiter;Bin neu in Berlin und möchte mich sozial einbringen.;Wochenende;ja;Technik/IT;J;beantragt;
B034;Melek;Schneider;melekschneider@gmail.com;0170-9113551;69;Mitte;Übersetzerin;Habe selbst als Jugendlicher Unterstützung gebraucht und weiß, wie wichtig das ist.;nur Dienstag & Donnerstag;ja;Technik/IT;J;eingereicht;
B035;Moritz;Fischer;moritzfischer21@posteo.de;0170-8470867;55;Tempelhof-Schöneberg;Lehrerin i.R.;Bin neu in Berlin und möchte mich sozial einbringen.;wochentags abends;ja, beruflich;Persönliche Entwicklung;J;nicht vorhanden;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B036;Timur;Schuster;timurschuster@web.de;0151-5089891;42;Treptow-Köpenick;kaufmännischer Angestellter;Wollte schon lange ehrenamtlich tätig sein, hatte aber nie Zeit.;Wochenende;etwas;offen für alles;nein;eingereicht;
B037;Yusuf;Winkler;yusuf.winkler70@t-online.de;0176-4352261;28;Mitte;Erzieherin;War selbst Geflüchteter und weiß, wie schwer der Einstieg ins Berufsleben ist.;nur Dienstag & Donnerstag;etwas;Sprache;offen;eingereicht - abgelaufen;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B038;Yusuf;Costa;yusufcosta@gmail.com;0160-3804544;65;lichtenberg;Erzieherin;Fühle mich seit dem Auszug der eigenen Kinder manchmal einsam, suche neue soziale Kontakte.;unregelmäßig, Schicht;ja, beruflich;Persönliche Entwicklung;offen;eingereicht;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B039;Elif;Ozturk;elif.ozturk@t-online.de;0176-7338489;50;Spandau;Erzieherin;Seit der Rente suche ich eine sinnvolle Aufgabe mit Kontakt zu jungen Menschen.;flexibel;ja, beruflich;Persönliche Entwicklung;nein;nicht vorhanden;Wirkte sehr auf Nähe bedacht, im Interview genauer beobachten.
B040;Ecrin;Hassan;ecrinhassan@gmx.de;0170-9393097;36;Mitte;Bankkaufmann i.R.;Meine Tochter hat von dem Projekt erzählt, das hat mich neugierig gemacht.;wochentags abends;etwas;Schule allgemein;J;ausstehend;
B041;Nora;Meyer;norameyer62@gmail.com;0170-6908119;56;Treptow-Köpenick;Lehrerin i.R.;Ich glaube, jeder Jugendliche verdient jemanden, der zuhört.;wochentags abends;etwas;Persönliche Entwicklung;ja;beantragt;
B042;Erik;Schmidt;erikschmidt28@web.de;0170-3543880;28;Mitte;Lehrerin i.R.;Ich glaube, jeder Jugendliche verdient jemanden, der zuhört.;flexibel;ja;Bewerbung/Beruf;nein;eingereicht;
B043;Sude;Hassan;sudehassan@gmx.de;0170-6476947;64;Mitte;Erzieherin;Fühle mich seit dem Auszug der eigenen Kinder manchmal einsam, suche neue soziale Kontakte.;wochentags abends;nein;Technik/IT;Ja;eingereicht;Wirkte sehr auf Nähe bedacht, im Interview genauer beobachten.
B044;Berkay;Schneider;berkayschneider@t-online.de;0151-4277796;64;Treptow-Köpenick;Studentin (berufsbegleitend);Bin neu in Berlin und möchte mich sozial einbringen.;Wochenende;ja;Persönliche Entwicklung;nein;eingereicht;
B045;Leyla;Klein;leylaklein@gmail.com;;47;Tempelhof-Schöneberg;Erzieherin;Ein Kollege hat mir davon erzählt, klang spannend.;flexibel;nein;offen für alles;Ja;ausstehend;Bewerber möchte ausschließlich 1:1-Treffen bei sich zu Hause - kritisch prüfen.
B046;Rosemarie;Ivanov;rosemarie.ivanov@t-online.de;0151-5079172;33;Charlottenburg-Wilmersdorf;Erzieherin;Habe selbst als Jugendlicher Unterstützung gebraucht und weiß, wie wichtig das ist.;nur Dienstag & Donnerstag;ja;Sprache;J;beantragt;Hat keine Referenzen angegeben, nachfordern.
B047;Paula;Hoffmann;paulahoffmann46@posteo.de;;48;Treptow-Köpenick;Bankkaufmann i.R.;Möchte etwas zurückgeben, nachdem meine eigenen Kinder aus dem Haus sind.;wochentags abends;ja, beruflich;Schule allgemein;offen;nicht vorhanden;
B048;Sophie;Fischer;sophiefischer@posteo.de;0176-7248102;72;Charlottenburg-Wilmersdorf;Krankenschwester i.R.;Wollte schon lange ehrenamtlich tätig sein, hatte aber nie Zeit.;Wochenende;etwas;Sprache;Ja;beantragt;Hat keine Referenzen angegeben, nachfordern.
B049;Hans;Arslan;hansarslan@gmx.de;0179-4584125;47;Steglitz-Zehlendorf;Erzieherin;Seit der Rente suche ich eine sinnvolle Aufgabe mit Kontakt zu jungen Menschen.;Wochenende;nein, aber Interesse;Persönliche Entwicklung;J;eingereicht - abgelaufen;
B050;Vivien;Arslan;vivienarslan@posteo.de;0176-8047116;45;Friedrichshain-Kreuzberg;kaufmännischer Angestellter;Seit der Rente suche ich eine sinnvolle Aufgabe mit Kontakt zu jungen Menschen.;unregelmäßig, Schicht;etwas;Schule allgemein;J;eingereicht;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B051;Ingrid;Wolf;ingrid.wolf@web.de;0179-6862658;26;Pankow;Selbstständiger Handwerker;Habe selbst als Jugendlicher Unterstützung gebraucht und weiß, wie wichtig das ist.;unregelmäßig, Schicht;nein, aber Interesse;Technik/IT;Ja;ausstehend;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B052;Amira;Kaya;amirakaya@t-online.de;0151-8308039;31;Tempelhof-Schöneberg;kaufmännischer Angestellter;Meine Tochter hat von dem Projekt erzählt, das hat mich neugierig gemacht.;wochentags abends;nein, aber Interesse;offen für alles;ja;beantragt;Wirkte sehr auf Nähe bedacht, im Interview genauer beobachten.
B053;Felix;Weber;felixweber@gmail.com;0176-9996135;61;Lichtenberg;Rentner, ehem. Betriebsleiter;Meine Tochter hat von dem Projekt erzählt, das hat mich neugierig gemacht.;flexibel;ja;Sprache;Ja;ausstehend;Wirkte sehr auf Nähe bedacht, im Interview genauer beobachten.
B054;Julian;Koch;juliankoch63@web.de;0170-3391333;30;Spandau;Lehrerin i.R.;Bin neu in Berlin und möchte mich sozial einbringen.;flexibel;etwas;offen für alles;offen;ausstehend;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B055;Simon;Osei;simon.osei@web.de;0176-4289647;72;Friedrichshain-Kreuzberg;kaufmännischer Angestellter;Möchte etwas zurückgeben, nachdem meine eigenen Kinder aus dem Haus sind.;wochentags abends;nein, aber Interesse;Schule allgemein;ja;eingereicht;Bewerber möchte ausschließlich 1:1-Treffen bei sich zu Hause - kritisch prüfen.
B056;Karin;Kaya;karinkaya55@t-online.de;0160-9480064;25;Tempelhof-Schöneberg;Bankkaufmann i.R.;Fühle mich seit dem Auszug der eigenen Kinder manchmal einsam, suche neue soziale Kontakte.;nur Dienstag & Donnerstag;nein;Schule allgemein;J;beantragt;Bewerber möchte ausschließlich 1:1-Treffen bei sich zu Hause - kritisch prüfen.
B057;Rania;Demir;raniademir95@web.de;0170-4670583;64;Steglitz-Zehlendorf;Krankenschwester i.R.;Ein Kollege hat mir davon erzählt, klang spannend.;wochentags abends;nein;Bewerbung/Beruf;Ja;eingereicht;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B058;Fatima;Winkler;fatima.winkler60@web.de;0176-8399624;27;Lichtenberg;Ingenieur;Möchte etwas zurückgeben, nachdem meine eigenen Kinder aus dem Haus sind.;unregelmäßig, Schicht;ja, beruflich;offen für alles;offen;eingereicht - abgelaufen;
B059;Emre;Zimmermann;emrezimmermann@posteo.de;0151-2298703;48;Marzahn-Hellersdorf;Rentner, ehem. Betriebsleiter;Ein Kollege hat mir davon erzählt, klang spannend.;wochentags abends;ja;Sprache;nein;eingereicht;
B060;Laura;Meyer;laura.meyer@web.de;0160-3622676;28;Marzahn-Hellersdorf;Studentin (berufsbegleitend);Ein Kollege hat mir davon erzählt, klang spannend.;unregelmäßig, Schicht;nein, aber Interesse;Persönliche Entwicklung;J;eingereicht;
B061;Talia;Dogan;taliadogan86@gmail.com;0179-1318529;25;Treptow-Köpenick;Krankenschwester i.R.;Ich glaube, jeder Jugendliche verdient jemanden, der zuhört.;flexibel;etwas;Bewerbung/Beruf;offen;beantragt;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B062;Enes;Becker;enesbecker@posteo.de;0151-1658416;40;Mitte;Studentin (berufsbegleitend);Ich möchte meine Berufserfahrung weitergeben.;Wochenende;ja;Sprache;ja;eingereicht;
B063;Greta;Hassan;greta.hassan51@gmx.de;0160-5507753;26;Tempelhof-Schöneberg;Erzieherin;Habe selbst als Jugendlicher Unterstützung gebraucht und weiß, wie wichtig das ist.;unregelmäßig, Schicht;etwas;offen für alles;J;ausstehend;
B064;Noah;Polat;noahpolat58@t-online.de;0151-9471117;51;Reinickendorf;kaufmännischer Angestellter;Möchte etwas zurückgeben, nachdem meine eigenen Kinder aus dem Haus sind.;wochentags abends;etwas;Bewerbung/Beruf;J;nicht vorhanden;
B065;Meryem;Klein;meryem.klein@posteo.de;0176-3498677;59;Friedrichshain-Kreuzberg;Selbstständiger Handwerker;Meine Tochter hat von dem Projekt erzählt, das hat mich neugierig gemacht.;flexibel;ja;Persönliche Entwicklung;J;ausstehend;
B066;Zeynep;Aksoy;zeynep.aksoy@gmail.com;0160-6546024;52;Charlottenburg-Wilmersdorf;Ingenieurin i.R.;Habe selbst als Jugendlicher Unterstützung gebraucht und weiß, wie wichtig das ist.;flexibel;ja, beruflich;Sprache;nein;eingereicht;
B067;Noah;Weber;noahweber@web.de;0160-2676936;46;Lichtenberg;Übersetzerin;Bin neu in Berlin und möchte mich sozial einbringen.;nur Dienstag & Donnerstag;ja;Bewerbung/Beruf;nein;eingereicht;
B068;Aylin;Bergmann;aylin.bergmann@t-online.de;0151-8143797;39;Friedrichshain-Kreuzberg;Lehrerin i.R.;Wollte schon lange ehrenamtlich tätig sein, hatte aber nie Zeit.;wochentags abends;ja, beruflich;Technik/IT;nein;beantragt;
B069;Ayse;Hoffmann;ayse.hoffmann63@gmail.com;0179-2835094;40;Treptow-Köpenick;Krankenschwester i.R.;Seit der Rente suche ich eine sinnvolle Aufgabe mit Kontakt zu jungen Menschen.;nur Dienstag & Donnerstag;nein, aber Interesse;Technik/IT;Ja;eingereicht;Bewerber möchte ausschließlich 1:1-Treffen bei sich zu Hause - kritisch prüfen.
B070;Rania;Ahmadi;raniaahmadi@t-online.de;0176-3498176;68;Charlottenburg-Wilmersdorf;Studentin (berufsbegleitend);War selbst Geflüchteter und weiß, wie schwer der Einstieg ins Berufsleben ist.;nur Dienstag & Donnerstag;etwas;offen für alles;ja;nicht vorhanden;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B071;Manfred;Lange;manfredlange64@posteo.de;0160-3103086;67;Reinickendorf;Physiotherapeutin i.R.;Meine Tochter hat von dem Projekt erzählt, das hat mich neugierig gemacht.;unregelmäßig, Schicht;ja;Persönliche Entwicklung;J;ausstehend;Hat keine Referenzen angegeben, nachfordern.
B072;Bilal;Demir;bilaldemir@gmail.com;0170-1508414;64;Lichtenberg;kaufmännischer Angestellter;Ich möchte meine Berufserfahrung weitergeben.;flexibel;etwas;Technik/IT;ja;eingereicht - abgelaufen;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B073;Serkan;Neumann;serkan.neumann25@gmx.de;0160-7764388;66;Reinickendorf;Selbstständiger Handwerker;Ein Kollege hat mir davon erzählt, klang spannend.;Wochenende;ja;Bewerbung/Beruf;Ja;eingereicht;Hat keine Referenzen angegeben, nachfordern.
B074;Enes;Arslan;enesarslan@t-online.de;0170-2433245;48;Reinickendorf;kaufmännischer Angestellter;Habe selbst als Jugendlicher Unterstützung gebraucht und weiß, wie wichtig das ist.;nur Dienstag & Donnerstag;etwas;Schule allgemein;J;ausstehend;
B075;Zeynep;Weber;zeynepweber45@t-online.de;0170-2376909;34;Treptow-Köpenick;Bankkaufmann i.R.;Fühle mich seit dem Auszug der eigenen Kinder manchmal einsam, suche neue soziale Kontakte.;flexibel;etwas;Technik/IT;ja;eingereicht;Bewerber möchte ausschließlich 1:1-Treffen bei sich zu Hause - kritisch prüfen.
